,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
172,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,49,40,4.61,scattered clouds
173,Wattegama,LK,6.7989,81.4808,73.92,93,100,0.98,overcast clouds
174,Manono,CD,-7.3,27.4167,67.62,96,92,1.52,overcast clouds
175,Osakarovka,KZ,50.565,72.5692,26.35,77,100,26.08,overcast clouds
176,Buraydah,SA,26.326,43.975,70.5,43,0,11.41,clear sky
177,Cerro De Pasco,PE,-10.6833,-76.2667,57.02,38,84,13.56,broken clouds
178,Vila Velha,BR,-20.3297,-40.2925,82.35,81,20,20.71,few clouds
179,Forchheim,DE,49.7175,11.0588,46.98,82,0,5.77,clear sky
180,Kamyshla,RU,54.1169,52.1426,37.24,96,100,18.12,overcast clouds
181,Bandarbeyla,SO,9.4942,50.8122,79.16,73,8,16.98,clear sky
182,Ibotirama,BR,-12.1853,-43.2206,91.65,35,17,2.8,few clouds
183,Boa Vista,BR,2.8197,-60.6733,91.38,49,40,8.05,scattered clouds
184,Mbandaka,CD,0.0487,18.2603,71.2,98,100,2.04,overcast clouds
185,Nikel,RU,69.4128,30.222,23.18,99,61,5.06,broken clouds
186,Yar-Sale,RU,66.8333,70.8333,-0.6,90,100,8.41,overcast clouds
187,Hithadhoo,MV,-0.6,73.0833,81.61,76,100,11.95,overcast clouds
188,Algiers,DZ,36.7525,3.042,64.22,88,20,3.44,few clouds
189,Saint-Augustin,CA,51.226,-58.6502,30.11,50,93,4.54,overcast clouds
190,Narsaq,GL,60.9167,-46.05,44.82,64,100,17.49,overcast clouds
191,Touros,BR,-5.1989,-35.4608,81.68,70,26,13.89,scattered clouds
192,Lerwick,GB,60.1545,-1.1494,51.8,92,34,20.65,scattered clouds
193,Oktyabrskoye,RU,43.0645,44.7417,37.54,81,3,8.95,mist
194,Itarema,BR,-2.9248,-39.9167,83.16,70,4,18.61,clear sky
195,Rio Gallegos,AR,-51.6226,-69.2181,64.31,35,46,6.55,scattered clouds
196,Ostrovnoy,RU,68.0531,39.5131,34.97,67,100,17.74,light snow
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.96,80,100,10.36,light snow
198,Harper,LR,4.375,-7.7169,78.93,82,100,6.44,overcast clouds
199,At-Bashi,KG,41.1702,75.8106,17.4,73,100,3.11,overcast clouds
200,Lalibela,ET,12.0333,39.0333,58.06,57,6,8.72,clear sky
201,Yining,CN,29.0361,114.5636,54.01,73,100,2.37,overcast clouds
202,Veinticinco De Mayo,AR,-35.4323,-60.1727,66.97,100,100,1.99,light rain
203,Marfino,RU,55.7028,37.3822,39.45,76,75,17.9,broken clouds
204,Severnyy,RU,50.677,36.5532,44.64,70,40,11.18,scattered clouds
205,Salym,RU,60.0625,71.4789,21.94,94,94,7.09,overcast clouds
206,Akhisar,TR,38.9185,27.8401,51.49,78,7,6.51,clear sky
207,Mineiros,BR,-17.5694,-52.5511,86.04,41,88,3.96,overcast clouds
208,Klaksvik,FO,62.2266,-6.589,50.92,94,59,13.56,broken clouds
209,General Pico,AR,-35.6566,-63.7568,60.4,71,100,17.49,overcast clouds
210,Atbasar,KZ,51.8,68.3333,32.54,97,100,25.37,light snow
211,Mangai,CD,-4.05,19.5333,69.91,97,100,2.62,light rain
212,Mao,ES,39.8885,4.2658,61.36,88,20,4.61,few clouds
213,Upala,CR,10.8979,-85.0145,80.15,85,46,4.27,scattered clouds
214,San Vicente De Canete,PE,-13.0751,-76.3835,69.04,73,100,7.43,overcast clouds
215,Atar,MR,20.5169,-13.0499,82.9,9,0,8.99,clear sky
